IPC,PIBCONST,TRIMESTRE,ANO,PIBCONSUMO,EXPORTA,IMPORTA,PBI
97.58384906,38175.77332,1,2007,"260,878.8",105700.0645,115074.3654,350424.3224
97.24542536,38486.51425,2,2007,"285,710.8",95063.17519,118857.8214,356336.0853
98.4522939,37269.11822,3,2007,"287,905.4",95072.4036,133769.041,362283.0824
100,37333.32611,4,2007,"327,684.9",94639.86081,143185.0953,386209.7702
114.6857574,41670.74814,5,2008,"314,806.6",108007.5515,144437.7703,394460.9937
112.9238429,48976.2471,6,2008,"348,677.0",102147.9912,166857.9602,423002.0977
105.9694769,41044.09965,7,2008,"353,410.4",101202.0189,168894.2444,416234.7574
101.7935833,45448.55027,8,2008,"364,406.8",86112.08413,140334.4452,423263.8953
97.40637826,41107.99062,9,2009,"330,793.1",95762.26315,112484.9297,414461.9765
98.63287471,45032.8303,10,2009,"359,023.9",90552.55922,122645.7902,425966.12
98.35790208,45938.36522,11,2009,"362,121.9",91051.9871,130594.272,430014.3055
100.2243958,44942.54578,12,2009,"407,602.1",88015.15136,143925.0905,459026.0267
111.7850668,53208.83689,13,2010,"388,744.6",110089.2245,137178.562,474445.5532
110.8841738,55144.05506,14,2010,"417,541.7",105376.2642,166123.8904,492886.2592
108.9869418,45701.6136,15,2010,"409,320.3",109361.1468,170323.8985,485111.468
110.6837349,52127.52789,16,2010,"452,911.8",109042.4573,177414.6065,526408.6042
120.615194,54770.7219,17,2011,"436,315.0",131735.4098,165097.7498,536786.1946
112.2178461,53192.98097,18,2011,"474,978.9",133976.7107,193937.5123,549478.6053
110.7156446,55088.97611,19,2011,"463,899.3",131545.7917,192140.4992,543283.4635
108.7150325,57287.51346,20,2011,"511,262.0",128492.8529,198621.9844,588880.5609
109.6101843,65124.31276,21,2012,"482,846.5",150709.2288,184951.0185,595658.3712
103.0546049,56281.19447,22,2012,"509,667.7",142455.0526,196321.4624,587414.2194
101.449468,55976.60427,23,2012,"498,293.5",141802.3353,202836.8086,574218.5772
100.7533267,48258.22394,24,2012,"544,562.1",145545.8941,202378.565,620212.501
95.92061589,49600.34353,25,2013,"494,635.4",158784.5808,184125.3866,607932.7311
100.2284197,55482.6264,26,2013,"534,789.2",164199.4203,195959.243,623992.3919
104.4720966,61081.33864,27,2013,"527,802.2",165493.5683,205853.7886,636275.8519
108.1509204,61550.97703,28,2013,"589,874.0",162411.6789,211818.864,690384.6358
113.0015376,60937.76387,29,2014,"535,662.6",181988.2109,193939.1554,669671.3631
115.9947042,63233.43517,30,2014,"579,378.7",177586.1861,219609.7572,689435.7649
118.9534496,66531.18974,31,2014,"571,212.9",180800.0468,218265.7751,686933.8377
123.0656135,58966.52652,32,2014,"635,000.5",176795.6356,220398.1115,740188.7381
130.2795024,63194.42628,33,2015,"577,877.5",186162.056,203747.7588,730142.8167
137.7116305,69350.59115,34,2015,"624,223.8",188347.686,221317.9146,744115.404
143.2379621,74260.49931,35,2015,"609,693.9",187900.7301,227593.7693,744484.6152
146.5983561,62340.72202,36,2015,"689,440.7",182393.4262,221978.0663,804373.2768
