estatus,banco,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
0,RESERVAS,26.17 ,55.22 ,4.91 ,3.63 ,0.45 ,3.15 ,58.76 ,74.67 ,2.76 ,4.75 ,8.70 ,94.71 ,85.25 ,9.46 ,5.29 ,2.90 ,35.05 ,30.87 ,30.57 ,70.91 ,5.76 ,68.29 ,31.71 ,41.26 ,65.85 ,16.35 ,5.10 ,5.08 ,25.15 ,14.15 
0,SCOTIA BANK,25.00 ,68.55 ,0.20 ,1.43 ,0.55 ,2.92 ,68.65 ,80.03 ,1.45 ,6.98 ,12.66 ,97.26 ,86.21 ,11.05 ,2.74 ,2.61 ,31.24 ,29.79 ,25.20 ,81.92 ,6.94 ,58.50 ,41.50 ,40.77 ,78.71 ,20.27 ,7.39 ,6.62 ,34.13 ,2.75 
0,CITIBANK,23.00 ,59.34 ,5.95 ,5.82 ,(0.02),4.48 ,64.44 ,56.84 ,4.71 ,5.38 ,22.79 ,95.21 ,67.05 ,28.16 ,4.79 ,3.40 ,40.46 ,36.92 ,28.94 ,104.81 ,9.30 ,48.12 ,51.88 ,40.10 ,84.56 ,21.75 ,4.09 ,8.49 ,39.80 ,13.84 
0,POPULAR,17.62 ,73.92 ,(0.00),4.19 ,0.40 ,3.17 ,73.79 ,77.12 ,1.36 ,7.63 ,10.77 ,97.49 ,62.21 ,35.28 ,2.51 ,2.33 ,22.84 ,20.54 ,17.62 ,86.18 ,8.70 ,38.50 ,61.50 ,48.50 ,82.84 ,18.13 ,6.30 ,7.82 ,32.79 ,5.02 
0,DEL PROGRESO,18.93 ,61.31 ,3.39 ,6.08 ,0.87 ,8.59 ,63.51 ,72.68 ,2.88 ,8.61 ,10.31 ,93.38 ,52.33 ,41.05 ,6.62 ,4.76 ,26.05 ,22.42 ,20.90 ,76.60 ,8.67 ,37.10 ,62.90 ,28.52 ,72.15 ,22.95 ,8.39 ,7.46 ,16.18 ,1.62 
1,BANCREDITO,26.45 ,55.85 ,0.94 ,7.07 ,1.48 ,7.03 ,54.70 ,70.91 ,1.50 ,8.73 ,11.10 ,91.32 ,64.90 ,26.43 ,8.68 ,5.13 ,37.30 ,31.81 ,27.03 ,68.31 ,6.98 ,44.88 ,55.12 ,25.46 ,63.88 ,29.44 ,12.94 ,5.96 ,12.38 ,6.24 
1,MERCANTIL,22.38 ,65.12 ,0.55 ,4.01 ,0.91 ,4.85 ,65.24 ,79.81 ,1.13 ,7.30 ,8.68 ,94.15 ,72.74 ,21.41 ,5.85 ,5.22 ,28.05 ,25.57 ,22.49 ,75.01 ,5.90 ,43.94 ,56.06 ,24.85 ,71.91 ,23.24 ,10.75 ,5.38 ,12.15 ,16.30 
0,B.H.D.,17.90 ,68.93 ,2.01 ,4.55 ,0.89 ,5.20 ,67.78 ,77.34 ,1.91 ,6.73 ,10.46 ,90.62 ,51.54 ,39.07 ,9.38 ,5.03 ,23.15 ,20.97 ,18.46 ,83.10 ,6.25 ,47.46 ,52.54 ,36.38 ,79.23 ,17.74 ,8.26 ,5.66 ,17.75 ,5.90 
1,BANINTER,15.80 ,66.85 ,1.45 ,6.11 ,2.57 ,4.77 ,66.61 ,61.23 ,2.05 ,8.79 ,11.42 ,93.60 ,57.58 ,36.02 ,6.40 ,3.97 ,25.81 ,18.79 ,15.95 ,81.22 ,8.60 ,45.82 ,54.18 ,25.37 ,77.11 ,21.91 ,10.49 ,6.26 ,21.46 ,2.61 
0,CRUZ,34.56 ,40.86 ,14.78 ,5.76 ,0.53 ,2.80 ,55.70 ,81.01 ,0.59 ,14.11 ,16.31 ,98.89 ,84.47 ,14.41 ,1.11 ,1.27 ,42.66 ,42.29 ,49.34 ,68.08 ,5.94 ,45.13 ,54.87 ,34.24 ,66.48 ,19.36 ,9.17 ,5.89 ,10.56 ,0.63 
